name,calories,fats,proteins,carbohydrates
Malt-O-Meal Frosted Flakes,389,1,4,90
Corn Pops,387,1,5,90
Malt-O-Meal Fruity Dyno-Bites,404,3,4,90
"Popcorn, sugar syrup or caramel-coated, fat free",381,1,2,90
"Sugar substitute, low-calorie, powdered, NFS",349,0,1,90
"Puddings, lemon, dry mix, regular, with added oil, potassium, sodium",366,2,0,90
Golden Crisp (Formerly called Super Golden Crisp),380,2,6,90
"Gelatin desserts, dry mix, with added ascorbic acid, sodium-citrate and salt",381,0,8,90
Butterscotch hard candy,391,3,0,90
"Gelatin desserts, dry mix",381,0,8,90
"Candies, butterscotch",391,3,0,90
"Chocolate beverage powder, dry mix, not reconstituted",400,2,5,90
"Pectin, unsweetened, dry mix",325,0,0,90
Froot Loops Marshmallow,376,3,5,89
"Frosted Flakes, Kellogg's",369,2,4,89
"Frosted corn flakes, NFS",369,2,4,89
"Sweeteners, tabletop, aspartame, EQUAL, packets",365,0,2,89
Carob flour,222,1,5,89
"Sugar substitute, saccharin-based, dry powder and tablets",360,0,1,89
"Sugar substitute, saccharin-based, dry powder",360,0,1,89
"Tapioca, pearl, dry",358,0,0,89
"Candies, divinity, prepared-from-recipe",364,0,1,89
"Butter replacement, fat-free powder",373,1,2,89
"Puddings, banana, dry mix, instant, with added oil",386,4,0,89
"Sugar substitute, aspartame-based, dry powder",365,0,2,89
"Puddings, chocolate, dry mix, regular",362,2,3,89
"Brown sugar substitute, saccharin-based, dry powder",360,0,1,89
"Puddings, banana, dry mix, regular, with added oil",387,5,0,88
"Candies, caramels, chocolate-flavor roll",387,3,2,88
"Rice, puffed",383,1,7,88
Arrowroot flour,357,0,0,88
Dietetic or low calorie gumdrops,354,0,0,88
"Gumdrops, chocolate covered",435,8,2,88
"Wheat, puffed, presweetened with sugar",380,2,6,88
Fruit Whirls,375,3,5,88
Froot Loops,375,3,5,88
"Candies, TOOTSIE ROLL, chocolate-flavor roll",387,3,2,88
Apple Jacks,375,3,5,88
"Banana flakes, dehydrated",346,2,4,88
"Fruit Rings, NFS",375,3,5,88
"Caramel, chocolate-flavored roll",387,3,2,88
Cocoa Krispies,389,3,5,88
Malt-O-Meal Puffed Rice,383,1,7,88
"Marshmallow, candy-coated",343,0,1,88
Malt-O-Meal Cocoa Dyno-Bites,397,3,4,88
Malt-O-Meal Golden Puffs (formerly Sugar Puffs),380,2,6,88
"Fruit snacks candy, with high vitamin C",352,0,0,88
"Candies, fruit snacks, with high vitamin C",352,0,0,88
"Puddings, chocolate, dry mix, instant",378,2,2,88
"Rice cereal with mixed fruits, baby food, dry, instant",389,1,7,88
"Honey Smacks, Kellogg's (formerly Smacks; Honey Smacks)",380,2,6,88
"Smart Start Strong Heart Antioxidants Cereal, Kellogg's",371,2,8,87
"Fruit flavored drink, powdered, not reconstituted, diet",218,0,0,87
"Fruit flavored snack, baby food",347,0,0,87
Special K Red Berries,358,1,6,87
Malt-O-Meal Coco-Roos,389,5,3,87
"Yogurt covered fruit snacks candy, with added vitamin C",415,8,0,87
"Beverages, malted drink mix, chocolate, powder",411,5,5,87
"Honeycomb, plain",394,3,6,87
Chocolate flavored frosted puffed corn cereal,405,4,3,87
"Reduced Sugar Frosted Flakes Cereal, Kellogg's",357,0,6,87
Honey Nut Chex,375,2,6,87
"Honey Crunch Corn Flakes, Kellogg's",385,2,7,87
"Rice cereal with apples, baby food, dry, instant",396,2,7,87
Crispix,378,1,7,87
"Honeycomb, strawberry",394,3,6,87
"Noodles, chinese, cellophane or long rice (mung beans), dehydrated",351,0,0,86
Fruity Pebbles,402,4,5,86
"Rice Flakes, NFS",394,1,7,86
Malt-O-meal Tootie Fruities,391,3,5,86
"Rice Krispies Treats Cereal, Kellogg's",395,4,4,86
"Brown rice cereal, baby food, dry, instant",406,3,9,86
"Trix, reduced sugar",383,4,5,86
"Potatoes, mashed, dehydrated, granules without milk, dry form",372,1,8,86
Crispy Rice,394,1,7,86
Crispy Brown Rice Cereal,394,1,7,86
Crisp Crunch,398,5,4,86
Trix,384,4,5,86
Special K Blueberry,363,2,7,86
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted",465,13,0,86
Cocoa Pebbles,397,4,5,86
Cap'n Crunch,398,5,4,86
Cap'n Crunch's Christmas Crunch,397,5,4,86
Cap'n Crunch's Crunch Berries,397,5,4,86
"Beverages, Orange-flavor drink, breakfast type, low calorie, powder",217,0,4,86
"Finger Foods, Puffs, baby food",389,2,6,86
"Snacks, fruit leather, rolls",371,3,0,86
"Beverages, coffee, instant, vanilla, sweetened, decaffeinated, with non dairy creamer",465,13,0,86
"Corn bran, crude",224,1,8,86
"Raisin Bran Crunch, Kellogg's",354,2,7,85
Fruit syrup,341,0,0,85
Malt-O-Meal Blueberry Muffin Tops,374,3,5,85
Alpha-bits with marshmallows,400,3,7,85
"Sweeteners, sugar substitute, granulated, brown",347,0,2,85
Malt-O-Meal Crispy Rice,381,2,7,85
Malt-O-Meal Honey Graham Squares,374,3,5,85
Frosted oat cereal with marshmallows,400,3,7,85
Special K Fruit & Yogurt,367,3,7,85
"Chex cereal, NFS",375,2,6,85
Quisp,406,6,5,85
Corn Chex,370,2,6,85
"Sweet Crunch, Quaker (formerly called Popeye)",406,6,5,85
"Beverages, tea, instant, sweetened with sodium saccharin, lemon-flavored, powder",338,1,3,85
"Snacks, fruit leather, pieces, with vitamin C",373,4,0,85
Booberry,386,4,6,85
Honey Nut Clusters (formerly called Clusters),374,2,8,85
"Pineapple candy, Puerto Rican style",329,0,1,85
"Beverages, tea, instant, decaffeinated, lemon, diet",338,1,3,85
Golden Grahams,374,3,5,85
Banana Nut Cheerios,375,4,6,85
Rice Chex,375,2,6,85
Frankenberry,386,4,6,85
"Snacks, GENERAL MILLS, BETTY CROCKER Fruit Roll Ups, berry flavored, with vitamin C",373,4,0,85
"Rice Krispies, Kellogg's",381,2,7,85
"Crackers, matzo",395,1,10,84
"Beverages, Cocoa mix, powder",398,4,7,84
"Cake, yellow, light, dry mix",404,6,5,84
"Oh's, Honey Graham",412,8,4,84
"Martha White Foods, Martha White's Chewy Fudge Brownie Mix, dry",407,6,4,84
Chocolate Lucky Charms,381,4,6,84
Chocolate Cheerios,380,5,6,84
"Crispbread, wheat, no added fat",395,1,10,84
"Honey Nut Shredded Wheat, Post",373,3,8,84
"Crackers, matzo, plain",395,1,10,84
"Crackers, matzo, low sodium",395,1,10,84
Berry Berry Kix,376,4,6,84
"Crunchy Corn Bran, Quaker",331,4,6,84
Frosted Wheat Bites,352,2,8,84
Fruit leather and fruit snacks candy,365,3,1,84
Fruity Cheerios,381,5,6,84
Fiber One,207,2,7,84
Fiber One Honey Clusters,323,3,8,84
"Hot chocolate / Cocoa, dry mix, not reconstituted",398,4,7,84
Cookie-Crisp,380,4,5,84
"Cookies, fortune",378,3,4,84
"Cookie, tea, Japanese",378,3,4,84
Cocoa Puffs,383,5,6,84
"Cookie, fortune",378,3,4,84
"Frostings, glaze, prepared-from-recipe",341,1,0,84
"Ice cream cones, sugar, rolled-type",402,4,8,84
Count Chocula,383,5,5,84
King Vitaman,381,3,6,84
"Corn flakes, Kellogg's",357,0,8,84
"Corn flakes, NFS",357,0,8,84
"Syrups, table blends, corn, refiner, and sugar",319,0,0,84
Puffins Cereal,333,4,7,84
"White potato, chips, fat free",379,1,10,84
"Snacks, potato chips, fat free, salted",379,1,10,84
Product 19,374,1,8,84
"Puddings, coconut cream, dry mix, instant",415,10,1,84
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Tropical fruits",409,8,0,83
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits",408,8,0,83
"Fudge, divinity",399,8,4,83
Frosted Mini-Wheats,350,2,9,83
"Fruit peel, candied",322,0,0,83
"Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted",430,11,2,83
"Rice cereal, baby food, dry, instant",390,2,7,83
Kix,357,3,8,83
Malt-O-Meal Marshmallow Mateys,387,4,7,83
Honey Kix,364,4,6,83
"Babyfood, cereal, whole wheat, with apples, dry fortified",402,5,7,83
"Babyfood, cereal, rice, dry fortified",390,2,7,83
"Nougat, chocolate covered",436,10,5,83
"Corn flour, yellow, degermed, unenriched",375,1,6,83
Corn Puffs,357,3,8,83
"Cranberries, dried",308,1,0,83
"Crackers, rice",416,5,10,83
Special K Vanilla Almond,366,4,8,83
"Cocoa Puffs, reduced sugar",380,5,6,83
"Cookie, rice, baby",391,1,12,83
Cinnabon cereal,410,7,6,83
Dora the Explorer Cereal,366,6,6,83
"Snacks, corn cakes, very low sodium",387,2,8,83
Fiber One Raisin Bran Clusters,317,2,6,83
"Snacks, SUNKIST, SUNKIST Fruit Roll, strawberry, with vitamins A, C, and E",342,1,1,83
"Snacks, corn cakes",387,2,8,83
"Waffle Crisp, Post",390,5,7,83
"Egg custards, dry mix",410,6,7,83
"Snacks, fruit leather, pieces",359,3,1,83
Fiber One Caramel Delight,344,6,6,83
"Fruit, dried, NFS (assume uncooked)",308,1,0,83
"Onions, dehydrated flakes",349,0,9,83
"Whole wheat cereal with apples, baby food, dry, instant",402,5,7,83
Potato flour,357,0,7,83
Wheaties,353,2,8,83
"Plum, rock salt, dried",311,0,3,83
"Cracker, snack, fat free",393,2,10,82
Kashi Honey Sunshine,332,4,8,82
"Cake, yellow, enriched, dry mix",374,4,4,82
"Honey Bunches of Oats with Vanilla Clusters, Post",394,5,8,82
"Crackers, crispbread, rye",366,1,8,82
"Snacks, rice cakes, brown rice, plain, unsalted",387,3,8,82
Puffed wheat cake,387,3,8,82
"Snacks, rice cracker brown rice, plain",387,3,8,82
Chex Cinnamon,403,7,5,82
Puffed rice cake without salt,387,3,8,82
"Snacks, rice cakes, brown rice, sesame seed",392,4,8,82
Malt-O-Meal Colossal Crunch,401,5,4,82
"Snacks, rice cakes, brown rice, sesame seed, unsalted",392,4,8,82
Malt-O-Meal Frosted Mini Spooners,354,2,9,82
Honey Bunches of Oats with Pecan Bunches,399,5,7,82
"Rice, white, long-grain, precooked or instant, enriched, dry",380,1,8,82
Wheat Chex,345,2,10,82
"Fudge, vanilla",383,5,1,82
"Crispbread, rye, no added fat",366,1,8,82
Yogurt Burst Cheerios,400,5,7,82
"Babyfood, pretzels",397,2,11,82
"Candies, YORK BITES",394,7,2,82
Weetabix Whole Wheat Cereal,371,3,11,82
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Fruit and Creme",408,8,0,82
Grape-Nuts Flakes,376,4,9,82
Honey,304,0,0,82
Taffy,400,8,1,82
"Crackers, saltines, fat-free, low-sodium",393,2,10,82
"Candies, fudge, vanilla, prepared-from-recipe",383,5,1,82
"Crackers, saltine, fat free",393,2,10,82
"Rice, white, glutinous, unenriched, uncooked",370,1,7,82
"Bran Flakes, NFS (formerly 40% Bran Flakes, NFS)",327,2,10,82
"Pretzel, baby food",397,2,11,82
"Puddings, coconut cream, dry mix, regular",434,11,1,82
"All-Bran Complete Wheat Flakes, Kellogg's",327,2,10,82
"Chips, brown rice",384,3,8,82
Puffed rice cake,387,3,8,82
"Blueberry Morning, Post",395,5,6,82
"Cookie, meringue",339,0,6,81
Oat Cluster Cheerios Crunch,378,5,8,81
"Rice, white, long-grain, parboiled, enriched, dry",374,1,8,81
"Oatmeal Crisp, Raisin (formerly Oatmeal Raisin Crisp)",372,4,8,81
"Candies, marshmallows",318,0,2,81
"Granola, lowfat, Kellogg's",389,6,9,81
"Spices, cinnamon, ground",247,1,4,81
MultiGrain Cheerios,370,4,8,81
"Snacks, rice cakes, brown rice, corn",385,3,8,81
Honey Bunches of Oats Just Bunches,401,5,7,81
"100 % Natural Wholegrain Cereal with raisins, lowfat, Quaker",388,6,8,81
"Rice cake, cracker-type",392,4,7,81
Honey Bunches of Oats Honey Roasted Cereal,401,5,7,81
"Nuts, chestnuts, japanese, dried",360,1,5,81
Shredded Wheat'N Bran,339,2,11,81
"Shallots, freeze-dried",348,0,12,81
"Candies, YORK Peppermint Pattie",384,7,2,81
"Pepeao, dried",298,0,5,81
"Snacks, FARLEY CANDY, FARLEY Fruit Snacks, with vitamins A, C, and E",341,0,4,81
Special K Chocolatey Delight,381,7,6,81
"Special K Cinnamon Pecan, Kellogg's",375,6,8,81
"Candies, NESTLE, BIT-O'-HONEY Candy Chews",388,8,2,81
Special K Low Fat Granola,389,6,9,81
"Rice, white, long-grain, parboiled, unenriched, dry",374,1,8,81
"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",362,3,11,81
"Seaweed, agar, dried",306,0,6,81
"Popcorn, sugar syrup or caramel-coated, with nuts",400,8,6,81
"Snacks, popcorn, caramel-coated, with peanuts",400,8,6,81
"Cake, pudding-type, white, unenriched, dry mix",423,10,4,81
"All-Bran Bran Buds, Kellogg's (formerly Bran Buds)",257,2,9,81
Chex Chocolate,412,8,5,81
"Potatoes, mashed, dehydrated, flakes without milk, dry form",354,0,8,81
"Cake, pudding-type, white, enriched, dry mix",423,10,4,81
Lucky Charms,380,5,8,81
Marshmallow,318,0,2,81
"Cracker, meal",383,2,9,81
"Nuts, chestnuts, chinese, dried",363,2,7,80
"Rice, white, long-grain, regular, raw, unenriched",365,1,7,80
"Rice, white, long-grain, regular, raw, enriched",365,1,7,80
"Tortilla chips, low fat, baked without fat",448,6,11,80
"Pretzel, hard, multigrain",384,3,10,80
"Oatmeal Honey Nut Heaven, Quaker (formerly Toasted Oatmeal, Honey Nut)",376,5,9,80
"Snacks, pretzels, hard, plain, salted",384,3,10,80
"Pretzels, hard",384,3,10,80
Berry Burst Cheerios,378,4,9,80
"Snacks, rice cakes, brown rice, buckwheat",380,4,9,80
"Salty snacks, corn or cornmeal base, tortilla chips, lowfat, baked without fat, unsalted",416,6,11,80
"Candies, MARS SNACKFOOD US, STARBURST Sour Fruit Chews",400,8,0,80
Raisin Nut Bran,368,5,8,80
"Candies, NESTLE, AFTER EIGHT Mints",432,12,2,80
"Cookies, brownies, dry mix, sugar free",426,12,3,80
"Gelatin desserts, dry mix, reduced calorie, with aspartame",198,0,16,80
Sugar (brown) and water syrup,309,0,0,80
"Nutty Nuggets, Ralston Purina",361,2,11,80
"Shredded Wheat, 100%",344,2,12,80
"Snacks, tortilla chips, low fat, unsalted",416,6,11,80
Frosted Cheerios,376,5,9,80
Malt-O-Meal Raisin Bran,342,2,8,80
"Pretzel, oatbran, hard",384,3,10,80
Apple Cinnamon Cheerios,386,6,8,80
Malt-O-Meal Honey and Nut Toasty O's,376,5,9,80
"Cherries, dried",333,1,1,80
"Fondant, chocolate covered",366,9,2,80
"Salty snacks, corn or cornmeal base, tortilla chips, lowfat, baked without fat",415,6,11,80
"Snacks, popcorn, cakes",384,3,10,80
Popcorn cake,384,3,10,80
Alpha-Bits,389,5,10,80
Frosty O's,376,5,9,80
"Snacks, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Squares",417,9,3,80
"Millet, puffed",354,3,13,80
"Honey Bunches of Oats with Almonds, Post",409,7,8,80
Kashi Heart to Heart Oat Flakes and Blueberry Clusters,376,4,10,80
"Snacks, rice cakes, brown rice, buckwheat, unsalted",380,4,9,80
"Babyfood, cereal, rice, with bananas, dry",404,4,9,80
"Pretzels, NFS",384,3,10,80
"Rice noodles, dry",364,1,6,80
"Multigrain, whole grain cereal, baby food, dry, instant",407,7,7,80
"Snacks, rice cakes, brown rice, rye",386,4,8,80
"Carrot, dehydrated",341,1,8,80
"Rice cereal with bananas, baby food, dry, instant",404,4,9,80
"Cookie, peanut butter with rice cereal (no-bake)",414,9,3,80
"Cake, white, dry mix, special dietary (includes lemon-flavored)",397,8,3,80
"Cake, pudding-type, chocolate, dry mix",391,8,5,80
"Cake, pudding-type, yellow, dry mix",423,10,4,80
Honey Nut Cheerios,376,5,9,80
"Snacks, rice cakes, brown rice, multigrain, unsalted",387,4,8,80
"Rice flour, white, unenriched",366,1,6,80
"Cracker, high fiber, no added fat",334,1,10,80
"Snacks, rice cakes, brown rice, multigrain",387,4,8,80
"Granola bar, with rice cereal",414,9,3,80
"Crackers, rye, wafers, plain",334,1,10,80
"Blueberries, dried",317,2,2,80
"Candies, sweet chocolate coated fondant",366,9,2,80
Grape-Nuts,361,2,11,80
"Cookie, marshmallow, with rice cereal (no-bake)",414,9,3,80
"Cookie, marshmallow and peanut butter, with oat cereal (no-bake)",414,9,3,80
"Natural Bran Flakes, Post (formerly called 40% Bran Flakes, Post)",328,2,10,80
"Granola, NFS",381,5,9,80
"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",377,4,6,80
"Granola with Raisins, lowfat, Kellogg's",381,5,9,80
"Cornmeal, degermed, unenriched, yellow",370,2,7,79
"Cornmeal, degermed, unenriched, white",370,2,7,79
"Topping, marshmallow",322,0,1,79
Basic 4,358,4,7,79
Cap'n Crunch's Peanut Butter Crunch,417,9,7,79
"Cookie, pizzelle (Italian style wafer)",417,7,8,79
"Pretzel, gluten free",389,7,4,79
"Snacks, pretzels, hard, plain, made with unenriched flour, unsalted",381,4,9,79
"Snacks, popcorn, caramel-coated, without peanuts",431,13,4,79
"Spices, onion powder",341,1,10,79
"Snacks, pretzels, hard, plain, made with enriched flour, unsalted",381,4,9,79
"Toppings, marshmallow cream",322,0,1,79
"Snacks, pretzels, hard, plain, made with unenriched flour, salted",381,4,9,79
"Cereal, ready-to-eat, NFS",374,5,9,79
"Cornmeal, degermed, enriched, yellow",370,2,7,79
"Cookie, cone shell, ice cream type, wafer or cake",417,7,8,79
"Crackers, matzo, egg",391,2,12,79
"Cornmeal, degermed, enriched, white",370,2,7,79
"Popcorn, sugar syrup or caramel-coated",431,13,4,79
"Crackers, matzo, whole-wheat",351,2,13,79
Quaker Chewy 90 Calorie Granola Bar,408,8,4,79
"Mango, dried",319,1,2,79
"Granola bar, lowfat, NFS",408,8,4,79
"Rice, brown, parboiled, dry, UNCLE BEN'S",370,3,8,79
"Rice, white, medium-grain, raw, unenriched",360,1,7,79
"Rice, white, short-grain, enriched, uncooked",358,1,6,79
"Rice, white, medium-grain, raw, enriched",360,1,7,79
"Pasta, gluten-free, corn, dry",357,2,7,79
"Cake, pudding-type, carrot, dry mix",415,10,5,79
Kashi Good Friends,299,3,9,79
"Kashi cereal, NS as to ready to eat or cooked",336,2,13,79
"Ice cream cones, cake or wafer-type",417,7,8,79
Kashi Autumn Wheat,338,1,12,79
"Beverages, coffee, instant, with chicory",355,0,9,79
"Raisin Bran, Post",324,2,8,79
"Kashi, Puffed",336,2,13,79
Raisins,299,0,3,79
"Rice, white, short-grain, raw, unenriched",358,1,6,79
Kashi Heart to Heart Honey Toasted Oat,364,5,11,79
"Candies, TWIZZLERS NIBS CHERRY BITS",347,3,2,79
"Pretzel, hard, unsalted",381,4,9,79
"Seeds, breadnut tree seeds, dried",367,2,9,79
"Beverages, tea, instant, lemon, unsweetened",345,0,7,79
"Candies, TWIZZLERS CHERRY BITES",338,2,3,79
"Nature Valley Granola, with fruit and nuts",381,5,8,79
"Candies, TWIZZLERS Strawberry Twists Candy",348,2,3,79
Life (plain and cinnamon),374,4,10,78
Oatmeal Crisp with Almonds,390,7,10,78
"Crackers, graham, lowfat",386,6,6,78
"Crackers, graham",430,11,7,78
Malt-O-Meal Cinnamon Toasters,425,12,3,78
"Nuts, chestnuts, european, dried, peeled",369,4,5,78
"Crackers, graham, fat free",386,6,6,78
"Babyfood, cereal, mixed, dry fortified",399,7,7,78
Pralines,396,10,2,78
"Oat Bran Flakes, Health Valley",380,3,10,78
"Babyfood, rice cereal, dry, EARTHS BEST ORGANIC WHOLE GRAIN, fortified only with iron",386,5,8,78
Sugar (white) and water syrup,304,0,0,78
"Oatmeal cereal with bananas, baby food, dry, instant",399,7,7,78
"Potatoes, mashed, dehydrated, granules with milk, dry form",357,1,11,78
"Cookies, graham crackers, plain or honey (includes cinnamon)",430,11,7,78
"Cookie, vanilla sandwich, reduced fat",423,10,4,78
Barley malt flour,361,2,10,78
"Cookies, fudge, cake-type (includes trolley cakes)",349,4,5,78
"Barley, pearled, raw",352,1,10,78
"Mixed cereal, baby food, dry, instant",399,7,7,78
Cinnamon Toast Crunch Reduced Sugar,386,10,5,78
Quaker Oatmeal Squares (formerly Quaker Oat Squares),379,5,11,78
"Wheat flour, white, cake, enriched",362,1,8,78
Cinnamon Toast Crunch,410,10,5,78
"Syrups, corn, dark",286,0,0,78
"Crackers, graham, with raisins",430,11,7,78
"Snacks, KELLOGG, KELLOGG'S Low Fat Granola Bar, Crunchy Almond/Brown Sugar",390,7,8,78
"Candies, fudge, peanut butter, prepared-from-recipe",387,7,4,78
"Beverages, coffee substitute, cereal grain beverage, powder",360,3,6,78
"Granola bar, nonfat",342,1,6,78
"Toffee, plain",388,8,5,78
"Postum, dry powder",360,3,6,78
"Fudge, brown sugar (penuche)",396,10,2,78
"Fiber 7 Flakes, Health Valley",353,1,14,78
"Snacks, granola bar, fruit-filled, nonfat",342,1,6,78
"Popcorn, air-popped (no butter or no oil added)",387,5,13,78
"Snacks, popcorn, air-popped (Unsalted)",382,4,12,78
"Snacks, popcorn, air-popped",387,5,13,78
3 MUSKETEERS Bar,436,13,3,78
"Babyfood, cereal, oatmeal, with bananas, dry",399,7,7,78
"Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar",436,13,3,78
"Cake, yellow, unenriched, dry mix",432,12,4,78
"Cookies, brownies, dry mix, regular",434,15,4,77
"Maple Pecan Crunch Cereal, Post",413,9,8,77
"Candies, fudge, chocolate, prepared-from-recipe",410,10,2,77
Melba toast,390,3,12,77
"Sorghum flour, whole-grain",359,3,8,77
"Sorghum flour, refined, unenriched",357,1,10,77
"Wheat flour, white (industrial), 9% protein, bleached, unenriched",367,1,9,77
"Baking chocolate, mexican, squares",426,16,4,77
"Gerber Finger Foods, Puffs, baby food",421,10,6,77
"Cranberry Almond Crunch, Post",384,6,9,77
"Cookies, gingersnaps",416,10,6,77
Mexican chocolate (tablet),426,16,4,77
"Crackers, matzo, egg and onion",391,4,10,77
"Babyfood, cereal, mixed, with bananas, dry",391,5,11,77
"Cookie, gingersnaps",416,10,6,77
"Artificial Blueberry Muffin Mix, dry",407,9,5,77
"Nuts, chestnuts, european, dried, unpeeled",374,4,6,77
"Candies, caramels",382,8,5,77
"Breakfast tart, lowfat",372,6,4,77
"Rye flour, light",357,1,10,77
"Mixed cereal with bananas, baby food, dry, instant",391,5,11,77
"Syrups, corn, light",283,0,0,77
"Fruit bar, with added vitamin C, baby food, toddler",330,2,1,77
"Bread, stuffing, cornbread, dry mix",389,4,10,77
"Corn flour, yellow, masa, enriched",363,4,8,77
"Raisin bran, NFS",318,3,8,77
"Raisin Bran, Total",312,2,6,77
"Corn flour, whole-grain, yellow",361,4,7,77
"Tart, breakfast, low fat",372,6,4,77
"Cornmeal, whole-grain, white",362,4,8,77
"Corn syrup, light or dark",283,0,0,77
"Cornmeal, whole-grain, yellow",362,4,8,77
"Crackers, melba toast, plain, without salt",390,3,12,77
"Raisin Bran, Kellogg's",318,3,8,77
"Wheat flour, white (industrial), 9% protein, bleached, enriched",367,1,9,77
"Caramel, flavor other than chocolate",382,8,5,77
